update,transitions,high_reward_mean,high_reward_sum,duration_mean,detected_targets_mean,visited_targets_mean,retired_agents_mean,success_rate,entropy_reduction_mean,actor_explore_actions,actor_target_actions,actor_invalid_actions,actor_nonfinite_logits,actor_valid_target_actions,policy_loss,value_loss,entropy,approx_kl,clip_fraction
24,991,2.1824846267700195,2162.84228515625,12.295660972595215,2.125,1.9375,1.9375,0.1875,2387.62109375,864,127,0,0,127,0.0006157856550998986,53.559146881103516,1.4013481140136719,0.00030218029860407114,0.0007492415606975555
25,1024,1.9819458723068237,2029.5125732421875,11.92578125,2.0625,1.84375,1.84375,0.140625,2422.52294921875,903,121,0,0,121,-0.00041146110743284225,48.66102600097656,1.4169743061065674,8.957581303548068e-05,0.0
26,1045,1.8597187995910645,1943.4061279296875,12.236363410949707,2.015625,1.796875,1.796875,0.125,2521.153564453125,928,117,0,0,117,-0.01827237196266651,42.972442626953125,1.4234018325805664,0.00012534840789157897,0.0
27,993,2.0173044204711914,2003.183349609375,12.325277328491211,2.03125,1.828125,1.828125,0.140625,2353.30126953125,873,120,0,0,120,-0.0005855595809407532,49.25547409057617,1.401709794998169,4.641033956431784e-05,0.0002598752616904676
28,1002,1.7497295141220093,1753.22900390625,12.455089569091797,1.96875,1.6875,1.6875,0.03125,2355.670166015625,890,112,0,0,112,0.000167925376445055,39.49183654785156,1.417941927909851,0.00016713381046429276,0.0005102040595375001
29,1003,2.0844433307647705,2090.696533203125,11.97008991241455,2.078125,1.890625,1.890625,0.171875,2380.031005859375,879,124,0,0,124,0.0006707782158628106,51.40094757080078,1.4028124809265137,1.2970576790394261e-05,0.0
30,1008,1.8920397758483887,1907.176025390625,12.294642448425293,2.078125,1.765625,1.765625,0.109375,2404.9970703125,890,118,0,0,118,-0.0001759757287800312,45.85781478881836,1.4194782972335815,1.2789468200935517e-05,0.0
31,1046,1.8812638521194458,1967.802001953125,11.760038375854492,2.0625,1.796875,1.796875,0.15625,2437.60400390625,927,119,0,0,119,-0.03952299430966377,49.30183029174805,1.4047760963439941,7.825451029930264e-05,0.0
32,965,2.0760550498962402,2003.3929443359375,12.38341999053955,2.015625,1.828125,1.828125,0.15625,2312.131591796875,844,121,0,0,121,0.0019427200313657522,50.0904655456543,1.4022817611694336,2.8972757718292996e-05,0.0
33,914,2.2279138565063477,2036.313232421875,13.112691879272461,2.171875,1.890625,1.890625,0.078125,2255.89599609375,788,126,0,0,126,-0.0021629584953188896,48.44642639160156,1.3843884468078613,9.323090489488095e-05,0.0
34,971,2.312995433807373,2245.91845703125,12.12049388885498,2.265625,2.0,2.0,0.171875,2339.51220703125,841,130,0,0,130,-5.097989924252033e-05,53.79936218261719,1.3888295888900757,0.00020169814524706453,0.0
35,1020,1.9720970392227173,2011.538818359375,12.200980186462402,2.171875,1.859375,1.859375,0.09375,2423.8916015625,896,124,0,0,124,-0.00021462468430399895,46.65414047241211,1.4087623357772827,5.965887976344675e-05,0.0
36,1039,1.8241326808929443,1895.2738037109375,12.246390342712402,2.03125,1.75,1.75,0.125,2410.0908203125,923,116,0,0,116,-0.11012586206197739,52.34413146972656,1.4067319631576538,5.403820250649005e-05,0.0
37,1026,1.9028911590576172,1952.3663330078125,12.341130256652832,2.140625,1.8125,1.8125,0.078125,2414.9140625,906,120,0,0,120,-0.10503420978784561,69.53097534179688,1.3447157144546509,0.00011219512816751376,0.0
38,978,2.015524387359619,1971.182861328125,12.31799602508545,2.171875,1.828125,1.828125,0.09375,2353.276123046875,857,121,0,0,121,-0.0012113512493669987,45.883201599121094,1.4024149179458618,4.815434294869192e-05,0.0
39,988,1.9131360054016113,1890.1783447265625,12.351214408874512,1.984375,1.78125,1.78125,0.078125,2405.12158203125,871,117,0,0,117,-0.0006334905046969652,42.94989776611328,1.4102225303649902,1.952025922946632e-05,0.0
